age,educ,gender,rural,income,income_ln,gorman_secisl,voteisl,pious_off,cleric_inf,relig,sec_index,dem_index
37,2,1,0,9999996,,3,0,1,1,2,3.1428571,2.3333333
22,3,0,0,500,6.2146082,3,1,3,2,2,3.2857144,1.3333334
68,4,0,0,900,6.8023949,3,0,1,1,3,2.2857144,3.6666667
42,5,0,0,500,6.2146082,3,0,2,2,2,2.7142856,3
60,2,1,0,800,6.6846118,,1,,2,2,2.5714285,2
25,4,1,0,300,5.7037826,3,0,3,2,2,2,3
42,1,0,0,550,6.3099184,2,0,3,2,1,4.7142859,2.3333333
47,2,0,0,1600,7.377759,3,1,2,2,2,2,2.6666667
62,3,0,0,350,5.857933,3,0,2,2,1,1.5714285,2.3333333
29,5,0,0,900,6.8023949,2,0,2,2,1,3,2.6666667
26,6,1,0,800,6.6846118,2,0,1,1,2,3.1428571,1.3333334
30,1,1,0,9999994,,,0,2,2,2,2.7142856,3
45,2,1,0,300,5.7037826,3,0,4,4,3,2.1428571,2.3333333
46,4,0,0,1900,7.5496092,2,0,1,1,,3.8571429,2.6666667
46,4,1,0,600,6.3969297,1,0,2,3,2,1.8571428,3.6666667
34,1,1,0,1500,7.3132205,2,0,1,2,2,2.5714285,1.6666666
47,3,1,0,10000,9.2103405,3,1,3,2,3,2.5714285,2
42,3,1,0,800,6.6846118,3,0,2,2,2,2.5714285,1
40,6,1,0,2000,7.6009026,3,,2,2,2,2.7142856,2.6666667
60,4,0,0,1000,6.9077554,3,0,2,1,2,2.2857144,3.6666667
21,3,0,0,1500,7.3132205,,0,2,2,1,3.4285715,3
25,4,0,0,1500,7.3132205,3,0,2,2,2,2.7142856,2.6666667
19,4,0,0,8000,8.9871969,3,,1,2,2,2.5714285,3
22,5,1,0,500,6.2146082,3,1,2,2,2,3.4285715,2.6666667
22,5,1,0,1100,7.0030656,3,0,2,2,1,3,1
50,1,1,0,200,5.2983174,3,0,2,2,3,2.4285715,3
44,1,1,0,400,5.9914646,3,0,2,2,2,2.7142856,3.6666667
25,6,0,0,1800,7.495542,1,0,1,1,2,2.8571429,3
24,6,1,0,800,6.6846118,5,1,3,2,2,2.2857144,2.6666667
19,2,0,0,1000,6.9077554,3,0,3,2,2,3.5714285,1.6666666
30,4,0,0,9999998,,3,0,2,2,2,3.8571429,2.3333333
59,4,0,0,800,6.6846118,,0,2,3,3,1.7142857,1.6666666
47,3,0,0,600,6.3969297,3,0,2,2,3,1.4285715,3.3333333
72,1,0,0,9999998,,3,,2,2,2,1,2.3333333
50,1,1,0,9999998,,3,0,2,2,2,3.1428571,2.3333333
59,3,0,0,2000,7.6009026,3,1,4,2,3,1,3
30,2,0,0,1500,7.3132205,3,0,2,2,1,3.7142856,2.3333333
24,6,0,0,1500,7.3132205,3,1,3,2,2,2.2857144,3
26,6,0,0,1000,6.9077554,3,0,2,2,1,3.5714285,2
42,3,1,0,1200,7.0900769,4,1,,,2,2.2857144,2
32,3,1,0,200,5.2983174,3,1,3,2,3,2.4285715,2.3333333
32,5,1,0,400,5.9914646,3,,2,2,2,3.1428571,3
57,3,1,0,600,6.3969297,5,1,3,2,3,1.8571428,2.3333333
43,1,0,0,600,6.3969297,3,1,3,2,3,1.7142857,3
28,5,0,0,450,6.1092477,2,0,3,3,2,2.5714285,3
68,4,0,0,800,6.6846118,3,0,,2,3,1.7142857,3.3333333
32,5,0,0,700,6.5510802,2,0,2,2,1,3.4285715,3
